Post ID,Post Message,Type,Posted,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Average time video viewed,Lifetime Video length
1277547548992987_2219179228163143,"Happy Mother's Day to all the Super women's of our lives.  ""To the world, you are a mother but to your family, you are the world."" No infinity stones will be able to balance the sacrifices of our mothers.  We Love You 3000B <3 <3",Photo,2019-05-12 06:10:51,3795,5763,296,117,165,0,4164,2670,237,0,0,0,0,0,0
1277547548992987_2171316899616043,সবাইকে নববর্ষের শুভেচ্ছা।,Photo,2019-04-13 10:56:54,2659,4347,191,76,97,1,3341,2001,155,0,0,0,0,0,0
1277547548992987_2155929544488112,"Hello everyone! Presenting you AUST Innovation and Design Club(IDC) Executive Committee and Sub Committee(Under the supervision of VP, GS and JS's) for Fall'18. The family just extended to the maximum!   Well, the executive committee was working from the very beginning of the semester.   But we weren't able to announce the committee due to some infrastructural changes to our team. We have added the very best from AUST in our sub-committee this semester, divided them into departments so that you get the maximum output and share your field of interest with the people who are best in their field by providing you with the resources you need.  #AUSTIDC #WhereMindsCollide  N.B: Id cards of the general members are ready too and your ID cards will be handover to your respective CRs'.",Photo,2019-04-04 05:07:18,5700,10705,1124,1038,2062,1,5757,2528,778,0,0,0,0,0,0
1277547548992987_2145891272158606,"For the first time, all the clubs from AUST have done something together. In sha Allah in future, we'll do something even bigger and better together.  #A2i_presents_Road_to_Innovation_Hub Event link: https://www.facebook.com/events/285452629024459/",Photo,2019-03-29 03:07:35,8,9,0,0,0,0,5,4,0,0,0,0,0,0,0
1277547548992987_2140963069318093,সকলকে স্বাধীনতা দিবসের শুভেচ্ছা।,Photo,2019-03-26 02:11:53,34,34,0,0,0,0,6,6,0,0,0,0,0,0,0
1277547548992987_2138616956219371,"For the first time, all the clubs from AUST are collaborating together for an event. So buckle up your seatbelts and join the seminar on Thursday, 28th March 2019 at VC Seminar Room. ***No Registration Needed***",Link,2019-03-24 09:46:29,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0
1277547548992987_2132162260198174,#We_Want_To_Live #We_Need_Safe_Roads,Photo,2019-03-20 00:44:52,29,30,0,0,0,0,10,9,0,0,0,0,0,0,0
1277547548992987_2129666970447703,"Since it's inception Aust Innovation and design Club had a strong goal of providing the stars of our country into the limelight of national and international stages, helping them in excelling in their endeavours. The journey of Mindsparks'19 started back in July 2018 when a bunch of enthusiasts and their mentors decided to take the club to a new height. We had no idea that such a prestigious institution such as IIT Roorkee of India would be collaborating with us to take things to the epitome of international levels and we are thankful to the organisers of cognizance, the second largest technical festival in Asia for the belief in us in spite of few hiccups. As per the memorandum between MindSparks,AUST and Cognizance, IIT Roorkee for the first time in the history of international Campus collaborations, 3 champion teams got the opportunity to take part in finals at Cognizance 19 and we are glad to let you know that out of the two teams that went to India,  1. Team Quibbler of Segment Technocad became Champions in Technocad in Cognizance 19. 2. SUST Cracker Nut/ Team Bangladesh became First runners Up in Cyborg Breaking Segment of Cognizance,19.  We thank the organisers of Cognizance for their unconditional accommodations and amazing event delivery along with welcoming Bangladesh to compete there, waving the registration and accommodation fees. We look forward to Such collabs in the future.   Cyborg Breakin team leader tonmoy says :   ""This competition was the first of my international competition! I tried to give my best and succeeded by the grace of Allah. If you want to know about the event, then I would say that their event is huge! And everybody knows what they have to do to make the event successful. Central management was good, but if I talk about professionalism, then here I will keep my MindSparks ahead. Thanks so much for organizing this type of mega event in Bangladesh!""  And Technocad Champion team leader maksudul said :   প্রত্যেকের জীবনের সবথেকে বড় লক্ষ্য থাকে নিজের দেশকে কোনো না কোনোভাবে বিশ্বের সামনে তুলে ধরা। ভার্সিটি লাইফের বিগত বছরগুলোতে করা অক্লান্ত পরিশ্রমে আজকে আমাদের সেই লক্ষ্য পূরন হলো। আইআইটি গ্রাউন্ডে এসে এটুকু বুঝতে পেরেছি যে আমাদের ছেলেমেয়েরা অনেক সুযোগহীনতার মধ্যে থেকেও যে মেধা ও দক্ষতার পরিচয় দিয়ে চলেছে তা অতুলনীয়। ভারতে এসে দেখেছি রাষ্ট্র তাদের মেধাগুলোকে কিভাবে বিশ্ববিদ্যালয়গুলোতে নিরাপত্তা, স্বাধীনতা, উন্নত সুযোগ সুবিধা দিয়ে যত্ন করে পরিচর্যা করছে।   প্রচুর পরিমাণে টেকনিক্যাল প্রবলেম জয় করে এতগুলো টিমের প্রতিপক্ষে বাংলাদেশ টিমের জয় পাওয়াটা আমাদের জীবনের সেরা অর্জনের একটা হয়ে থাকবে। AUST Innovation Club কে ধন্যবাদ আমাদেরকে এই সুযোগ করে দেয়ার জন্য।  #Mindsparks19-Bangladesh #Cognizance19-India",Photo,2019-03-18 09:05:16,441,476,5,0,0,0,34,29,0,0,0,0,0,0,0
1277547548992987_2124635390950861,May Allah Grant everyone jannah!,Photo,2019-03-15 05:35:01,76,98,0,0,0,0,26,17,0,0,0,0,0,0,0
1277547548992987_2124193510995049,Thanks to BUP InfoTech Club for inviting us. In sha Allah Austians' will be there to rock your event.  Only two days left for the registration. Register now!,Link,2019-03-14 22:49:39,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0
1277547548992987_2114055615342172,"AUSTIDC believes in women empowerment. The difference between a broken community and a thriving one is the presence of women who are valued. From the start, many women are working relentlessly for AUSTIDC. Without them, it wouldn't be possible to come this far. We salute to all those women out there who are working to build the nation stronger. ‘Think equal, build smart, innovate for change’.",Photo,2019-03-08 02:34:27,13,14,0,0,0,0,4,4,0,0,0,0,0,0,0
1277547548992987_2219912521593664,"AUST IDC is planning to bring the “NEXT CORPORATE LEADER DEVELOPMENT PROGRAM”. The objective of this program is to develop a strong workforce for the corporate world through workshops, seminars and training program. This program will focus on three key points that are required to become a strong contender for future leadership in the corporate world.  Analytical ability  Communication skill  Work-related basic skills   If you want this program to happen, give us your opinions in the comment section.",Video,2019-03-01 04:35:50,2344,3943,386,322,554,0,2357,1333,281,234,271,767,1057,6232,24820
1277547548992987_2104028493011551,"Happy Birthday, Istiaque Rahaman Sir. Thank you for standing by our side when times get hard.",Photo,2019-03-01 02:30:50,49,52,0,0,0,0,14,14,0,0,0,0,0,0,0
1277547548992987_2102294153184985,"Thank you Cognizance,IIT Roorkee for the collab.❤  https://m.facebook.com/story.php?story_fbid=2581419225264527&id=217963184943488&sfnsn=mo",Photo,2019-02-27 22:39:44,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0
1277547548992987_2098361406911593,"Want to be the next corporate leader! Then join ""DUCC Presents- IPDC Young Professional Summit 2019"" to know more about the corporate world.  Registration deadline: 28th February 2019",Photo,2019-02-25 08:14:20,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0
1277547548992987_2093812734033127,Join now to know more about the corporate world! Registration deadline has been extended.,SharedVideo,2019-02-22 07:43:20,743,1011,64,61,88,2,968,709,63,0,0,109,120,0,104979
1277547548992987_2092170677530666,আমরা শোকাহত।,Photo,2019-02-21 06:42:52,13,14,1,1,1,0,8,7,1,0,0,0,0,0,0
1277547548992987_2092077744206626,"""Ahsanullah University of Science and Technology Innovation and Design Club"" is also known as ""AUSTIDC""- Pioneer of innovation at AUST. A club that always tries to create opportunities and works relentlessly for the betterment of the students of AUST by diminishing the discrimination between departments and help those who thrive for innovation.     AUST IDC has a dream. A dream to help the student of AUST to turn their innovative ideas into reality, to accelerate their goals.      To achieve our dreams we need the best people at AUST. So, what are you waiting for? It's time to showcase your talent. We are recruiting Executive and Sub Committee members. Join the league of elites. Drop your CV now. ***Selected candidates on the basis of CV will be called for an interview.***  Submission link: https://docs.google.com/forms/d/e/1FAIpQLSeLvZa4Notd59cW3-hexjYZC9SDE9U-ZVtetaMqfYbi52PA5A/viewform",Photo,2019-02-21 05:31:41,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0
1277547548992987_2091936430887424,"AUST Innovation and Design Club is the pioneer of innovation in Ahsanullah University of Science and Technology. We always try to create opportunity and help those who thrive for innovation.   Today we'll talk about team ""THRUST"". ""THRUST""- a team of innovators and dreamers from Ahsanullah University of Science & Technology who innovates this platform to turn their dreams into reality. To help those students from rural areas from all over Bangladesh who are deprived of technology. To accelerate the digitization of Bangladesh. To turn those deprived talented children into skilled manpower. ""THRUST"" has a dream. A dream to create new opportunities for rural children.   AUST Innovation and Design Club welcomes team THRUST for their great initiative.  Two of the founders of THRUST are from AUST IDC. We're proud of you. Best of luck for your journey. AUST IDC will be always there for you.",SharedVideo,2019-02-21 03:41:31,1185,1695,141,127,181,0,1650,1145,139,0,0,188,200,0,106793
1277547548992987_2091781390902928,"""এই মুহূর্তে যারা ঢাকা কেন্দ্রীয় শহীদ মিনার বা এর আশেপাশে অবস্থান করছেন তারা দয়া করে ঢাকা মেডিকেলে চলে যান। চকবাজার অগ্নিকান্ডে আহতদের জন্য প্রচুর রক্ত লাগছে। চলুন রক্ত দিয়ে অর্জিত এই ভাষা দিবসে রক্ত দিয়ে জীবন বাঁচাই।""   আসুন সবাই আরেকটু সতর্ক হই। আর কত?  #অস্টআইডিসি",Photo,2019-02-21 01:04:44,24,27,0,0,0,0,7,6,0,0,0,0,0,0,0
1277547548992987_2091532617594472,"সকল ভাষাশহীদদের প্রতি শ্রদ্ধা জ্ঞাপন করে, আহ্ছানউল্লা বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় ইনোভেশন ও ডিজাইন ক্লাব এর পক্ষ থেকে সবাইকে আন্তর্জাতিক মাতৃভাষা দিবসের শুভেচ্ছা ❤",Photo,2019-02-20 20:45:02,7,7,1,1,1,0,6,6,1,0,0,0,0,0,0
